Var1,Var2,Correlation
positive,positive,1
positive,positive_percentage,0.12885834
positive,negative,0.771126744
positive,negative_percentage,-0.12885834
positive,total_reviews,0.993832391
positive,price,0.013620383
positive,average_playtime_hours,0.571925183
positive,median_playtime_hours,0.410488164
positive_percentage,positive,0.12885834
positive_percentage,positive_percentage,1
positive_percentage,negative,-0.299423333
positive_percentage,negative_percentage,-1
positive_percentage,total_reviews,0.058605309
positive_percentage,price,-0.00260448
positive_percentage,average_playtime_hours,-0.056507088
positive_percentage,median_playtime_hours,-0.107236605
negative,positive,0.771126744
negative,positive_percentage,-0.299423333
negative,negative,1
negative,negative_percentage,0.299423333
negative,total_reviews,0.836974048
negative,price,0.013481351
negative,average_playtime_hours,0.616157824
negative,median_playtime_hours,0.435397947
negative_percentage,positive,-0.12885834
negative_percentage,positive_percentage,-1
negative_percentage,negative,0.299423333
negative_percentage,negative_percentage,1
negative_percentage,total_reviews,-0.058605309
negative_percentage,price,0.00260448
negative_percentage,average_playtime_hours,0.056507088
negative_percentage,median_playtime_hours,0.107236605
total_reviews,positive,0.993832391
total_reviews,positive_percentage,0.058605309
total_reviews,negative,0.836974048
total_reviews,negative_percentage,-0.058605309
total_reviews,total_reviews,1
total_reviews,price,0.014055118
total_reviews,average_playtime_hours,0.598900836
total_reviews,median_playtime_hours,0.428658536
price,positive,0.013620383
price,positive_percentage,-0.00260448
price,negative,0.013481351
price,negative_percentage,0.00260448
price,total_reviews,0.014055118
price,price,1
price,average_playtime_hours,0.006833492
price,median_playtime_hours,0.393758687
average_playtime_hours,positive,0.571925183
average_playtime_hours,positive_percentage,-0.056507088
average_playtime_hours,negative,0.616157824
average_playtime_hours,negative_percentage,0.056507088
average_playtime_hours,total_reviews,0.598900836
average_playtime_hours,price,0.006833492
average_playtime_hours,average_playtime_hours,1
average_playtime_hours,median_playtime_hours,0.45432707
median_playtime_hours,positive,0.410488164
median_playtime_hours,positive_percentage,-0.107236605
median_playtime_hours,negative,0.435397947
median_playtime_hours,negative_percentage,0.107236605
median_playtime_hours,total_reviews,0.428658536
median_playtime_hours,price,0.393758687
median_playtime_hours,average_playtime_hours,0.45432707
median_playtime_hours,median_playtime_hours,1
